artist,rank,count,first
Ash,2,6,2001
Ash,4,6,2001
Ash,5,6,2001
Ash,5,6,2001
Anti-Flag,3,6,2005
Anti-Flag,3,6,2005
Anti-Flag,1,6,2005
Anti-Flag,3,6,2005
Anti-Flag,3,6,2005
Alexisonfire,3,6,2004
Alexisonfire,3,6,2004
Alexisonfire,1,6,2004
Alexisonfire,1,6,2004
Alexisonfire,1,6,2004
You Me At Six,4,7,2008
You Me At Six,2,7,2008
You Me At Six,1,7,2008
You Me At Six,1,7,2008
You Me At Six,1,7,2008
You Me At Six,2,7,2008
You Me At Six,1,7,2008
The Cribs,4,7,2004
The Cribs,2,7,2004
The Cribs,1,7,2004
The Cribs,2,7,2004
The Cribs,1,7,2004
The Cribs,2,7,2004
The Cribs,1,7,2004
The Bronx,2,7,2004
The Bronx,4,7,2004
The Bronx,3,7,2004
The Bronx,3,7,2004
The Bronx,4,7,2004
The Bronx,4,7,2004
The Bronx,4,7,2004
Pulled Apart By Horses,5,7,2008
Pulled Apart By Horses,4,7,2008
Pulled Apart By Horses,4,7,2008
Pulled Apart By Horses,2,7,2008
Pulled Apart By Horses,1,7,2008
Pulled Apart By Horses,1,7,2008
Pulled Apart By Horses,5,7,2008
New Found Glory,2,7,2002
New Found Glory,1,7,2002
New Found Glory,4,7,2002
New Found Glory,1,7,2002
New Found Glory,1,7,2002
New Found Glory,1,7,2002
New Found Glory,4,7,2002
Jimmy Eat World,2,7,2002
Jimmy Eat World,1,7,2002
Jimmy Eat World,1,7,2002
Jimmy Eat World,1,7,2002
Jimmy Eat World,1,7,2002
Frank Turner,3,7,2007
Frank Turner,3,7,2007
Frank Turner,2,7,2007
Frank Turner,2,7,2007
Frank Turner,1,7,2007
Frank Turner,1,7,2007
Frank Turner,5,7,2007
Crystal Castles,4,7,2007
Crystal Castles,3,7,2007
Crystal Castles,2,7,2007
Crystal Castles,2,7,2007
Crystal Castles,2,7,2007
Crystal Castles,1,7,2007
Crystal Castles,2,7,2007
British Sea Power,4,7,2002
British Sea Power,4,7,2002
British Sea Power,2,7,2002
British Sea Power,2,7,2002
British Sea Power,1,7,2002
British Sea Power,4,7,2002
British Sea Power,5,7,2002
Billy Talent,4,7,2003
Billy Talent,1,7,2003
Billy Talent,3,7,2003
Billy Talent,1,7,2003
Billy Talent,2,7,2003
Billy Talent,4,7,2003
Billy Talent,1,7,2003
Enter Shikari,2,8,2007
Enter Shikari,1,8,2007
Enter Shikari,2,8,2007
Enter Shikari,1,8,2007
Enter Shikari,1,8,2007
Enter Shikari,1,8,2007
Enter Shikari,1,8,2007
Biffy Clyro,2,8,2001
Biffy Clyro,4,8,2001
Biffy Clyro,1,8,2001
Biffy Clyro,2,8,2001
Biffy Clyro,1,8,2001
Biffy Clyro,1,8,2001
Biffy Clyro,1,8,2001
Biffy Clyro,1,8,2001
